Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,PreferredDayOfWeek,PreferredHour,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,NegativeQuantityCount,ZeroPriceCount,ReturnRatio,TotalTransactions,AvgLinesPerInvoice,SupportTicketsCount,SatisfactionScore,SpendingCategory,PreferredTimeOfDay,Region,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Churn,RegMonth,RegWeekday,RegIsWeekend,AccountAgeDays,RegSeason,IsNewClient,AvgBasketValue,CancellationRate,SpendingVolatility,EngagementScore,ProductsPerTransaction
7,2005.63,29.934776119402983,35.43095185809055,3.75,178.20000000000002,613,9.149253731343284,1,50,1,9,0.0,4.2727272727272725,34,34,4.857142857142857,0,0,0.0,67,9.571428571428571,3.0,3.0,VIP,Matin,UK,Inconnu,Moyen,Explorateur,F,Active,0,12,0,0,368,hiver,0,250.70375,0.0,1.1453437297019087,0.75,0.5
1,489.6,37.66153846153846,28.254373952290948,15.8,102.0,190,14.615384615384617,2,48,2,9,0.0,0.0,13,13,13.0,0,0,0.0,13,13.0,2.0,4.0,Medium,Matin,UK,Inconnu,Moyen,Modéré,Unknown,Active,1,2,2,0,688,hiver,0,244.8,0.0,0.7308134925980547,1.3333333333333333,0.9285714285714286
3,598.83,19.961,5.365604603268926,12.48,39.6,265,8.833333333333334,1,24,1,15,0.0,11.10344827586207,28,28,9.333333333333334,0,0,0.0,30,10.0,2.0,0.0,High,Après-midi,UK,Inconnu,Moyen,Explorateur,Unknown,Active,0,9,4,0,469,automne,0,149.7075,0.0,0.25598037322975653,0.0,0.9032258064516129
76,50992.61,186.1044160583941,933.7723490590412,-8142.75,8142.75,32148,117.32846715328468,-1296,2400,1,11,0.0,1.1465201465201464,46,47,0.6052631578947368,32,0,0.1167883211678832,274,3.6052631578947367,2.0,3.0,VIP,Matin,UK,Inconnu,Grand,Explorateur,Unknown,Active,0,9,1,0,458,automne,0,662.2416883116883,0.11636363636363636,4.990648370199968,1.0,0.16727272727272727
2,389.44,16.226666666666667,4.731409999113387,5.04,27.0,208,8.666666666666666,2,24,2,9,0.0,4.869565217391305,22,22,11.0,0,0,0.0,24,12.0,0.0,3.0,Medium,Matin,UK,Inconnu,Moyen,Explorateur,M,Active,1,11,3,0,400,automne,0,129.81333333333333,0.0,0.27465615319930653,3.0,0.88
18,6416.389999999999,26.73495833333333,50.20159874263217,-38.16,601.44,2868,11.95,-36,336,3,14,0.125,1.3849372384937235,163,163,9.055555555555555,4,1,0.0166666666666666,240,13.333333333333334,2.0,1.0,VIP,Après-midi,Océanie,Semaine,Moyen,Explorateur,F,Active,0,9,6,1,474,automne,0,337.7047368421052,0.016597510373443983,1.8100477433311033,0.3333333333333333,0.6763485477178424
46,88125.38,81.90091078066915,87.97828932242282,-179.0,745.0,63012,58.561338289962826,-100,600,2,11,0.0,0.3255813953488372,467,479,10.152173913043478,113,0,0.1050185873605948,1076,23.39130434782609,4.0,2.0,VIP,Matin,UK,Inconnu,Grand,Explorateur,F,Active,0,9,6,1,467,automne,0,1875.008085106383,0.10492107706592387,1.0612463541587245,0.4,0.4336118848653668
3,-141.48,-8.32235294117647,21.79515184892381,-41.400000000000006,30.0,-132,-7.764705882352941,-24,24,2,10,0.0,9.6875,12,12,4.0,12,0,0.7058823529411765,17,5.666666666666667,2.0,4.0,Low,Matin,UK,Inconnu,Petit,Modéré,F,Active,1,7,2,0,520,été,0,-35.37,0.6666666666666666,2.337945364914846,1.3333333333333333,0.6666666666666666
3,711.86,25.423571428571428,29.77312934874216,7.800000000000001,165.0,363,12.964285714285714,1,32,0,9,0.0,13.51851851851852,25,25,8.333333333333334,0,0,0.0,28,9.333333333333334,1.0,5.0,High,Matin,UK,Inconnu,Moyen,Explorateur,M,Active,0,10,6,1,432,automne,0,177.965,0.0,1.1267640117924749,2.5,0.8620689655172413
1,79.6,79.6,0.0,79.6,79.6,8,8.0,8,8,2,10,0.0,,1,1,1.0,0,0,0.0,1,1.0,2.0,0.0,Low,Matin,UK,Inconnu,Moyen,Spécialisé,Unknown,Active,1,6,5,1,566,été,0,39.8,0.0,0.0,0.0,0.5
81,27487.41,54.86508982035928,50.54074055098437,-110.43,306.0,16119,32.17365269461078,-48,192,2,12,0.1816367265469061,0.688,236,244,2.9135802469135803,23,0,0.0459081836327345,501,6.185185185185185,2.0,5.0,VIP,Midi,UK,Semaine,Grand,Explorateur,Unknown,Active,0,12,2,0,373,hiver,0,335.2123170731707,0.045816733067729085,0.9046927287417602,1.6666666666666667,0.4701195219123506
52,16945.71,42.47045112781954,55.98517467790531,-63.75,532.8000000000001,7258,18.19047619047619,-11,288,0,14,0.0927318295739348,0.8793969849246231,55,55,1.0576923076923077,31,0,0.0776942355889724,399,7.673076923076923,2.0,4.0,VIP,Après-midi,UK,Semaine,Grand,Explorateur,F,Active,0,2,5,1,692,hiver,0,319.73037735849056,0.0775,1.28789035368618,1.3333333333333333,0.1375
13,2894.33,76.16657894736842,82.68118539129574,-13.95,367.2000000000001,1141,30.026315789473685,-5,120,0,10,0.0,9.91891891891892,27,27,2.076923076923077,7,0,0.1842105263157894,38,2.923076923076923,2.0,1.0,VIP,Matin,UK,Inconnu,Grand,Explorateur,Unknown,Active,0,1,4,0,728,hiver,0,206.73785714285714,0.1794871794871795,1.071463663663107,0.3333333333333333,0.6923076923076923
10,3465.6700000000005,17.415427135678396,13.9076639976737,-29.75,60.0,1638,8.231155778894472,-12,48,1,12,0.0,1.7828282828282829,137,138,13.7,4,0,0.0201005025125628,199,19.9,3.0,1.0,VIP,Midi,UK,Inconnu,Moyen,Explorateur,M,Active,0,10,1,0,451,automne,0,315.06090909090915,0.02,0.7552181057331399,0.25,0.685
4,832.88,5.665850340136054,6.137081078919305,0.42,40.56,585,3.979591836734694,1,108,3,11,0.0,2.493150684931507,142,142,35.5,0,0,0.0,147,36.75,1.0,1.0,High,Matin,UK,Inconnu,Petit,Explorateur,F,Suspended,0,9,3,0,470,automne,0,166.576,0.0,0.9206748975396354,0.5,0.9594594594594594
22,14520.080000000002,46.24229299363058,49.33480116740088,-152.64,267.6,5545,17.659235668789808,-144,160,3,12,0.1687898089171974,1.0702875399361025,183,190,8.318181818181818,6,0,0.019108280254777,314,14.272727272727272,3.0,5.0,VIP,Midi,UK,Semaine,Grand,Explorateur,Unknown,Active,0,7,5,1,524,été,0,631.3078260869567,0.01904761904761905,1.0442931119802425,1.25,0.580952380952381
1,192.6,96.3,114.97556262093264,15.0,177.60000000000002,97,48.5,1,96,2,11,0.0,0.0,2,2,2.0,0,0,0.0,2,2.0,3.0,2.0,Medium,Matin,Europe continentale,Inconnu,Grand,Spécialisé,F,Suspended,1,10,0,0,438,automne,0,96.3,0.0,1.1816604585912913,0.5,0.6666666666666666
8,3054.87,33.943,28.548470411021825,-13.16,116.0,2077,23.07777777777778,-4,100,2,11,0.0666666666666666,3.831460674157303,56,59,7.0,6,0,0.0666666666666666,90,11.25,3.0,3.0,VIP,Matin,UK,Semaine,Grand,Explorateur,Unknown,Active,0,12,1,0,388,hiver,0,339.43,0.06593406593406594,0.8170011278660054,0.75,0.6153846153846154
4,1659.75,276.625,93.4774397916417,132.0,408.0,535,89.16666666666667,36,147,3,8,0.0,52.6,4,4,1.0,0,0,0.0,6,1.5,2.0,5.0,High,Matin,UK,Inconnu,Grand,Spécialisé,Unknown,Suspended,1,1,6,1,712,hiver,0,331.95,0.0,0.33670397043364864,1.6666666666666667,0.5714285714285714
6,2995.72,16.642888888888887,7.1135332104509565,5.04,50.85,2058,11.433333333333334,1,96,2,9,0.0,1.5754189944134078,150,150,25.0,0,0,0.0,180,30.0,3.0,4.0,VIP,Matin,UK,Inconnu,Moyen,Explorateur,F,Active,0,11,0,0,410,automne,0,427.96,0.0,0.4031954888595885,1.0,0.8287292817679558
1,243.28,4.194482758620689,3.4974608194957733,0.42,19.05,173,2.9827586206896552,1,28,2,11,0.0,0.0,51,51,51.0,0,0,0.0,58,58.0,2.0,1.0,Medium,Matin,UK,Inconnu,Petit,Explorateur,Unknown,Active,1,10,5,1,447,automne,0,121.64,0.0,0.6733029989735624,0.3333333333333333,0.864406779661017
17,4204.1,6.040373563218392,8.370918354927017,0.12,76.5,2516,3.614942528735632,1,288,4,14,0.2183908045977011,0.516546762589928,407,410,23.94117647058824,0,0,0.0,696,40.94117647058823,3.0,3.0,VIP,Après-midi,UK,Semaine,Petit,Explorateur,M,Active,0,11,0,0,403,automne,0,233.56111111111113,0.0,1.188987811479195,0.75,0.5839311334289814
2,683.13,5.55390243902439,5.618184123261079,0.42,35.400000000000006,359,2.9186991869918697,1,12,6,12,0.5203252032520326,2.78688524590164,115,116,57.5,0,0,0.0,123,61.5,999.0,1.0,High,Midi,UK,Weekend,Petit,Explorateur,F,Active,0,10,3,0,435,automne,0,227.71,0.0,0.8572273047289056,0.001,0.9274193548387096
3,390.66,27.90428571428572,23.04183209672413,-8.850000000000001,90.0,174,12.428571428571429,-3,72,2,13,0.0,28.384615384615383,13,13,4.333333333333333,1,0,0.0714285714285714,14,4.666666666666667,1.0,1.0,Medium,Midi,UK,Inconnu,Moyen,Modéré,F,Active,0,9,4,0,469,automne,0,97.665,0.06666666666666667,0.7971770112048083,0.5,0.8666666666666667
1,233.45,16.675,1.976472187432018,14.85,20.4,111,7.928571428571429,3,12,2,12,0.0,0.0,14,14,14.0,0,0,0.0,14,14.0,2.0,1.0,Medium,Midi,UK,Inconnu,Moyen,Modéré,F,Active,1,6,1,0,577,été,0,116.725,0.0,0.11182303747847343,0.3333333333333333,0.9333333333333333
2,689.9499999999999,23.791379310344823,17.99679569180063,7.800000000000001,79.2,265,9.137931034482758,3,16,3,15,0.0,1.5357142857142858,25,25,12.5,0,0,0.0,29,14.5,2.0,2.0,High,Après-midi,UK,Inconnu,Moyen,Explorateur,Unknown,Active,1,3,5,1,664,printemps,0,229.98333333333332,0.0,0.7259295848977236,0.6666666666666666,0.8333333333333334
7,3190.55,27.26965811965812,22.17251330891097,0.42,102.0,1844,15.760683760683762,1,288,6,15,0.4786324786324786,3.0948275862068964,104,104,14.857142857142858,0,0,0.0,117,16.714285714285715,3.0,3.0,VIP,Après-midi,UK,Semaine,Grand,Explorateur,F,Active,0,8,1,0,493,été,0,398.81875,0.0,0.7843219474059601,0.75,0.8813559322033898
60,62653.1,107.09931623931624,105.17001276900676,-420.0,622.5,61803,105.64615384615384,-200,1600,3,12,0.0119658119658119,0.5941780821917808,369,372,6.15,17,0,0.029059829059829,585,9.75,3.0,5.0,VIP,Midi,UK,Semaine,Grand,Explorateur,Unknown,Active,0,8,1,0,507,été,0,1027.1,0.02901023890784983,0.9729017391393631,1.25,0.6296928327645052
4,1475.02,13.053274336283186,15.413203838782298,0.84,91.8,892,7.893805309734513,1,48,3,12,0.0,3.125,82,82,20.5,0,0,0.0,113,28.25,3.0,0.0,High,Midi,UK,Inconnu,Moyen,Explorateur,F,Active,0,1,4,0,707,hiver,0,295.004,0.0,1.0967695833694788,0.0,0.7192982456140351
28,7904.280000000001,20.16397959183673,14.508505979568442,-10.2,175.2,5656,14.428571428571429,-24,144,3,11,0.0,0.887468030690537,159,163,5.678571428571429,4,0,0.010204081632653,392,14.0,2.0,4.0,VIP,Matin,UK,Inconnu,Moyen,Explorateur,F,Active,0,8,1,0,514,été,0,272.5613793103449,0.010178117048346057,0.6855282541079654,1.3333333333333333,0.40458015267175573
1,277.35,3.2629411764705885,2.852236308720635,0.29,13.52,160,1.8823529411764703,1,8,2,12,0.0,0.0,74,74,74.0,0,0,0.0,85,85.0,1.0,0.0,Medium,Midi,UK,Inconnu,Petit,Explorateur,Unknown,Active,1,10,6,1,425,automne,0,138.675,0.0,0.6690770973954848,0.0,0.8604651162790697
18,21086.300000000003,171.43333333333337,452.75777216069145,6.72,3254.4,7559,61.45528455284553,1,960,2,12,0.0,2.9836065573770494,74,75,4.111111111111111,0,0,0.0,123,6.833333333333333,2.0,5.0,VIP,Midi,UK,Inconnu,Grand,Explorateur,M,Active,0,12,2,0,380,hiver,0,1109.8052631578948,0.0,2.6256974994820688,1.6666666666666667,0.5967741935483871
4,541.1,4.705217391304348,8.761843448168955,-25.5,79.9,223,1.9391304347826088,-6,12,0,11,0.0,1.7543859649122806,100,100,25.0,1,0,0.008695652173913,115,28.75,2.0,3.0,High,Matin,UK,Inconnu,Petit,Explorateur,M,Active,1,9,5,1,475,automne,0,108.22,0.008620689655172414,1.5357597874400697,1.0,0.8620689655172413
21,3925.92,9.369737470167063,16.0671952539341,-175.0,153.0,2075,4.952267303102626,-1,36,0,10,0.1408114558472553,0.8157894736842105,191,192,9.095238095238097,1,0,0.0023866348448687,419,19.95238095238096,3.0,0.0,VIP,Matin,UK,Semaine,Petit,Explorateur,F,Active,0,11,0,0,403,automne,0,178.4509090909091,0.002380952380952381,1.5494312464667677,0.0,0.45476190476190476
2,379.73,22.33705882352941,18.437844154315428,10.2,91.8,219,12.882352941176473,2,48,0,10,0.0,8.125,17,17,8.5,0,0,0.0,17,8.5,1.0,2.0,Medium,Matin,UK,Inconnu,Moyen,Modéré,M,Active,1,8,1,0,486,été,0,126.57666666666667,0.0,0.790067175719916,1.0,0.9444444444444444
2,239.92,10.431304347826083,21.67213739183182,1.25,79.2,241,10.478260869565217,1,144,3,14,0.0,14.363636363636363,23,23,11.5,0,0,0.0,23,11.5,2.0,3.0,Medium,Après-midi,UK,Inconnu,Moyen,Explorateur,M,Active,0,8,2,0,499,été,0,79.97333333333333,0.0,1.8958586642786097,1.0,0.9583333333333334
4,990.8400000000004,47.18285714285715,50.33315379974289,-17.700000000000003,177.60000000000002,610,29.047619047619047,-6,96,0,12,0.0,16.65,18,18,4.5,1,0,0.0476190476190476,21,5.25,1.0,4.0,High,Midi,UK,Inconnu,Grand,Modéré,Unknown,Active,0,11,3,0,421,automne,0,198.16800000000006,0.045454545454545456,1.0446278362138288,2.0,0.8181818181818182
1,313.49000000000007,4.415352112676057,3.77889206400346,0.65,19.8,197,2.7746478873239435,1,16,2,12,0.0,0.0,69,69,69.0,0,0,0.0,71,71.0,3.0,3.0,Medium,Midi,UK,Inconnu,Petit,Explorateur,F,Active,1,3,4,0,651,printemps,0,156.74500000000003,0.0,0.6978109613884512,0.75,0.9583333333333334
224,29072.1,6.262839293408013,38.3936798721033,-1829.84,850.5,24210,5.2154243860405,-244,576,2,11,0.1544592847910383,0.0642102995044171,1769,1779,7.897321428571429,46,1,0.0099095217578629,4642,20.723214285714285,1.0,3.0,VIP,Matin,UK,Semaine,Moyen,Explorateur,F,Active,0,7,5,1,531,été,0,129.20933333333332,0.009907387465001078,5.286318245668831,1.5,0.3810036614258023
2,423.04,3.305,2.477535923446622,0.39,12.75,231,1.8046875,1,12,0,12,0.0,2.5118110236220472,110,111,55.0,0,0,0.0,128,64.0,1.0,3.0,Medium,Midi,UK,Inconnu,Petit,Explorateur,Unknown,Active,0,8,4,0,490,été,0,141.01333333333335,0.0,0.575501956665882,1.5,0.8527131782945736
6,1607.0600000000002,15.0192523364486,5.904255373135322,3.12,31.6,928,8.672897196261681,1,24,2,15,0.0,1.7452830188679245,72,72,12.0,0,0,0.0,107,17.833333333333332,6.0,0.0,High,Après-midi,UK,Inconnu,Moyen,Explorateur,F,Active,1,10,6,1,439,automne,0,229.58,0.0,0.36857246824818224,0.0,0.6666666666666666
4,226.75,18.89583333333333,3.697939127119155,13.05,26.1,95,7.916666666666667,2,18,2,12,0.0,27.27272727272728,7,7,1.75,0,0,0.0,12,3.0,2.0,1.0,Medium,Midi,UK,Inconnu,Moyen,Modéré,Unknown,Pending,0,9,3,0,477,automne,0,45.35,0.0,0.1858650032478738,0.3333333333333333,0.5384615384615384
6,1049.37,16.144153846153845,32.05769383530982,0.83,158.75,310,4.769230769230769,1,25,2,12,0.0,4.203125,46,46,7.666666666666667,0,0,0.0,65,10.833333333333334,1.0,2.0,High,Midi,UK,Inconnu,Petit,Explorateur,M,Active,1,12,4,0,392,hiver,0,149.91,0.0,1.8698906999426927,1.0,0.696969696969697
4,2030.33,50.75825,53.16003761683278,-12.75,179.0,959,23.975,-3,100,1,9,0.0,8.35897435897436,35,35,8.75,1,0,0.025,40,10.0,2.0,3.0,VIP,Matin,UK,Inconnu,Grand,Explorateur,F,Active,0,11,5,1,398,automne,0,406.066,0.024390243902439025,1.027083365779036,1.0,0.8536585365853658
12,3817.08,16.45293103448276,7.674131620825337,-17.4,41.6,2040,8.793103448275861,-12,60,1,13,0.1336206896551724,1.593073593073593,129,129,10.75,2,0,0.0086206896551724,232,19.33333333333333,2.0,3.0,VIP,Midi,Europe continentale,Semaine,Moyen,Explorateur,Unknown,Active,0,6,0,0,557,été,0,293.6215384615385,0.008583690987124463,0.4397044602802311,1.0,0.5536480686695279
4,811.02,4.5056666666666665,4.749451259100343,-8.95,29.85,414,2.3,-1,24,2,14,0.0,2.0670391061452515,133,133,33.25,2,0,0.0111111111111111,180,45.0,0.0,5.0,High,Après-midi,UK,Inconnu,Petit,Explorateur,F,Active,0,5,5,1,594,printemps,0,162.204,0.011049723756906077,0.8626478039172385,5.0,0.7348066298342542
1,161.00000000000003,17.888888888888893,6.67845312262586,10.2,33.9,38,4.222222222222222,1,12,2,13,0.0,0.0,9,9,9.0,0,0,0.0,9,9.0,3.0,2.0,Medium,Midi,UK,Inconnu,Petit,Modéré,Unknown,Active,1,7,4,0,525,été,0,80.50000000000001,0.0,0.35356516531548665,0.5,0.9
4,800.24,23.536470588235293,42.11564107940673,1.25,181.25,407,11.970588235294118,1,125,2,13,0.0,9.12121212121212,33,33,8.25,0,0,0.0,34,8.5,2.0,2.0,High,Midi,UK,Inconnu,Moyen,Explorateur,F,Active,0,4,3,0,610,printemps,0,160.048,0.0,1.7164506577241907,0.6666666666666666,0.9428571428571428
3,2575.0,29.94186046511628,30.769113371600728,1.25,204.0,1306,15.186046511627907,1,80,2,14,0.0,4.023529411764706,59,59,19.666666666666668,0,0,0.0,86,28.666666666666668,4.0,4.0,VIP,Après-midi,UK,Inconnu,Grand,Explorateur,M,Active,0,12,6,1,383,hiver,0,643.75,0.0,0.9944170424493283,0.8,0.6781609195402298
7,13375.87,31.847309523809525,27.0369316523465,2.88,203.52,11071,26.35952380952381,2,240,2,13,0.0,0.883054892601432,219,222,31.285714285714285,0,0,0.0,420,60.0,3.0,2.0,VIP,Midi,Europe du Nord,Inconnu,Grand,Explorateur,F,Active,0,7,1,0,528,été,0,1671.98375,0.0,0.8231094736312772,0.5,0.5201900237529691
5,493.67,18.98730769230769,13.03412031790172,-25.0,50.85,246,9.461538461538462,-20,48,2,10,0.0,7.48,18,18,3.6,1,0,0.0384615384615384,26,5.2,3.0,2.0,Medium,Matin,UK,Inconnu,Moyen,Modéré,F,Closed,1,9,5,1,461,automne,0,82.27833333333334,0.037037037037037035,0.6521198611916115,0.5,0.6666666666666666
1,115.65,23.130000000000003,4.628660713424566,14.85,25.200000000000003,51,10.2,3,12,2,13,0.0,0.0,5,5,5.0,0,0,0.0,5,5.0,1.0,3.0,Medium,Midi,UK,Inconnu,Moyen,Modéré,Unknown,Pending,1,10,2,0,450,automne,0,57.825,0.0,0.19182182815684065,1.5,0.8333333333333334
5,1198.23,17.88402985074627,5.997743024924862,10.08,50.400000000000006,441,6.582089552238806,1,24,4,13,0.1641791044776119,5.075757575757576,61,61,12.2,0,0,0.0,67,13.4,1.0,1.0,High,Midi,UK,Semaine,Moyen,Explorateur,M,Active,0,7,1,0,535,été,0,199.705,0.0,0.31760927473263023,0.5,0.8970588235294118
12,2888.7500000000005,67.18023255813955,69.31763942647582,7.5,232.0,1343,31.232558139534884,1,160,1,13,0.0,8.547619047619047,27,27,2.25,0,0,0.0,43,3.583333333333333,5.0,0.0,VIP,Midi,UK,Inconnu,Grand,Explorateur,Unknown,Active,0,4,3,0,617,printemps,0,222.2115384615385,0.0,1.0166823553640179,0.0,0.6136363636363636
2,363.6000000000001,30.300000000000008,19.81780650186732,-5.9,75.60000000000001,136,11.333333333333334,-2,36,2,13,0.0,0.0,11,11,5.5,1,0,0.0833333333333333,12,6.0,1.0,5.0,Medium,Midi,UK,Inconnu,Moyen,Modéré,Unknown,Suspended,1,10,1,0,430,automne,0,121.20000000000003,0.07692307692307693,0.633156757248157,2.5,0.8461538461538461
2,379.8299999999999,7.166603773584904,4.222276520203575,0.85,17.0,185,3.490566037735849,1,12,2,13,0.0,7.019230769230769,48,48,24.0,0,0,0.0,53,26.5,1.0,0.0,Medium,Midi,UK,Inconnu,Petit,Explorateur,M,Active,0,9,4,0,469,automne,0,126.60999999999997,0.0,0.51701743310489,0.0,0.8888888888888888
1,487.75,18.064814814814813,4.12512971392357,10.5,26.1,160,5.925925925925926,1,18,2,14,0.0,0.0,27,27,27.0,0,0,0.0,27,27.0,3.0,1.0,Medium,Après-midi,UK,Inconnu,Moyen,Explorateur,F,Pending,1,9,4,0,483,automne,0,243.875,0.0,0.216373972367045,0.25,0.9642857142857143
248,132572.62,22.45851600880908,56.724447630901416,-1687.17,1687.17,77180,13.074707775707267,-288,640,3,14,0.0701338302558021,0.047610979329041,1794,1824,7.233870967741935,226,2,0.0382856174826359,5903,23.802419354838708,2.0,0.0,VIP,Après-midi,Autre,Semaine,Moyen,Explorateur,Unknown,Active,0,4,6,1,621,printemps,0,532.4201606425703,0.03827913279132791,2.418074852202944,0.0,0.30386178861788615
5,2158.3700000000003,19.44477477477478,22.178149805888875,0.19,104.0,1148,10.342342342342342,1,50,6,11,0.5405405405405406,2.4727272727272727,80,82,16.0,0,0,0.0,111,22.2,6.0,4.0,VIP,Matin,UK,Weekend,Moyen,Explorateur,Unknown,Active,1,8,1,0,486,été,0,359.7283333333334,0.0,1.084783278378433,0.5714285714285714,0.7142857142857143
169,40340.78,5.053335838657146,9.97603541966394,-39.95,349.5,22865,2.864211449329826,-10,288,2,12,0.1440561192534135,0.0384615384615384,1331,1353,7.875739644970414,136,0,0.0170362019290993,7983,47.23668639053255,1.0,5.0,VIP,Midi,UK,Semaine,Petit,Explorateur,F,Active,0,11,1,0,409,automne,0,237.29870588235295,0.017034068136272545,1.648022790335881,2.5,0.16670841683366733
13,6229.48,15.932173913043478,17.09982888294754,-25.5,126.0,4020,10.281329923273658,-9,48,2,14,0.289002557544757,0.8589743589743589,226,229,17.384615384615383,52,0,0.1329923273657289,391,30.07692307692308,4.0,5.0,VIP,Après-midi,Europe continentale,Semaine,Moyen,Explorateur,F,Active,0,11,2,0,422,automne,0,444.9628571428571,0.1326530612244898,1.009901562006454,1.0,0.576530612244898
16,2611.58,5.192007952286282,6.33036259479739,-29.85,45.760000000000005,1639,3.2584493041749503,-12,36,3,12,0.1630218687872763,0.7250996015936255,299,302,18.6875,3,0,0.0059642147117296,503,31.4375,1.0,5.0,VIP,Midi,UK,Semaine,Petit,Explorateur,F,Active,0,11,6,1,411,automne,0,153.62235294117647,0.005952380952380952,1.0223440673166486,2.5,0.5932539682539683
